Dates,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic EPS,EPS - Earnings Per Share,Sales percentage,Brand loyalty score
31-03-2015,"$8,663","$4,044","$1,622","$1,117",$218,"$15,664",$880,"$1,248","$3,687",$86.91,"$9,183","$24,848","$8,464","$3,107",$318,"$5,972","$14,436",$278,"$5,098",$0,"$5,352","$10,412","$24,848","$3,607","$2,075","$1,533",$772,$464,$-28.22,"$1,264",$269,$-1.13,$266,$63.21,$203,$0,$204,$-3.39,$200,$361,$269,$0.06,$0.06,25.83,0.18
30-06-2015,"$7,455","$3,985","$1,513","$1,044",$221,"$14,220",$869,"$1,202","$3,456",$79.65,"$8,670","$22,891","$7,406","$2,970",$287,"$5,553","$12,958",$272,"$4,822",$0,"$5,137","$9,933","$22,891","$3,550","$1,852","$1,698",$740,$513,$117,"$1,136",$562,$-37.61,$524,$134,$390,$0,$389,$-4.42,$384,$652,$562,$0.11,$0.10,24.88,0.18
30-09-2015,"$7,790","$3,761","$1,290",$909,$208,"$13,960",$742,"$1,146",$624,$67.87,"$8,883","$22,843","$6,765","$3,006",$895,"$5,952","$12,717",$274,"$5,011",$0,"$5,136","$10,126","$22,843","$3,378","$1,934","$1,444",$547,$439,$-89.01,"$1,076",$368,$-92.35,$275,$66.76,$208,$0,$209,$-41.17,$169,$457,$368,$0.05,$0.05,22.74,0.18
31-12-2015,"$11,055","$4,345","$1,126",$832,$190,"$17,571",$772,"$1,208",$622,$84.39,"$5,665","$23,236","$7,097","$2,246",$278,"$4,454","$11,550",$273,"$6,972",$0,"$4,792","$11,686","$23,236","$3,344","$1,964","$1,380",$301,$418,$14.40,$705,$676,$-33.25,$644,$120,$524,$0,$523,"$1,464","$1,986",$759,$676,$0.53,$0.50,21.55,0.18
31-03-2016,"$14,026","$7,233","$2,978","$1,632",$345,"$26,213","$2,220","$1,324","$12,130","$3,718","$25,257","$51,471","$14,015","$4,407",$484,"$12,771","$26,786",$271,"$6,386",$0,"$16,595","$24,684","$51,471","$6,066","$4,352","$1,714","$1,366","$1,090",$-44.13,"$2,500",$-785.48,$-111.42,$-896.90,$-220.64,$-676.26,$0,$-676.26,$16.55,$-565.94,$-337.58,$-785.48,$-0.10,$-0.10,18.85,0.18
30-06-2016,"$12,687","$7,480","$3,195","$1,656",$338,"$25,356","$2,219","$1,305","$12,510","$4,052","$26,336","$51,692","$15,805","$4,059",$600,"$13,041","$28,847",$278,"$3,917",$0,"$17,591","$22,844","$51,692","$6,307","$4,016","$2,291","$1,368","$1,055",$-726.33,"$3,149",$-858.50,$-33.89,$-893.51,$-73.42,$-820.09,$0,$-820.09,$2.26,$-751.18,$-383.51,$-858.50,$-0.14,$-0.14,16.18,0.18
30-09-2016,"$10,698","$7,181","$2,991","$1,454",$365,"$22,691","$2,142","$1,300","$12,083","$4,416","$25,754","$48,444","$13,975","$3,926",$719,"$12,750","$26,725",$275,"$3,292",$0,"$17,487","$21,720","$48,444","$6,573","$4,100","$2,473","$1,335","$1,032",$-43.52,"$2,411",$62.50,$-85.93,$-24.55,$124,$-148.43,$0,$-148.43,$-6.70,$-139.50,$469,$62.50,$-0.02,$-0.02,13.71,0.18
31-12-2016,"$10,648","$7,715","$2,773","$1,434",$357,"$22,928","$2,192","$1,279","$12,128","$4,851","$26,760","$49,687","$13,949","$4,047",$894,"$12,528","$26,477",$272,"$3,970",$0,"$18,482","$23,211","$49,687","$7,185","$4,306","$2,879","$1,358","$1,049",$-107.81,"$2,515",$364,$-66.43,$300,$-335.53,$636,$0,$636,$-28.71,$609,$799,$364,$0.11,$0.11,10.73,0.18
31-03-2017,"$9,636","$7,187","$3,091","$1,420",$347,"$21,682","$2,061","$1,223","$11,708","$4,870","$25,829","$47,510","$13,549","$4,376",$797,"$12,343","$25,891",$262,"$3,303",$0,"$17,664","$21,619","$47,510","$5,731","$3,466","$2,266","$1,348",$979,$-73.53,"$2,401",$-135.34,$-165.18,$-300.53,$164,$-464.65,$0,$-463.58,$-15.99,$-520.06,$295,$-135.34,$-0.10,$-0.10,8.79,0.18
30-06-2017,"$9,160","$7,042","$3,246","$1,792",$360,"$21,601","$2,050","$1,168","$11,223","$4,855","$25,246","$46,848","$13,788","$3,935",$803,"$13,244","$27,032",$271,"$1,851",$0,"$17,538","$19,817","$46,848","$6,182","$3,722","$2,460","$1,336",$997,$-178.23,"$2,511",$-50.61,$-236.54,$-287.15,$189,$-476.39,$0,$-476.39,$-15.40,$-480.79,$-33.37,$-50.61,$-0.09,$-0.09,7.22,0.18
30-09-2017,"$8,090","$8,031","$3,559","$1,676",$417,"$21,772","$2,144","$1,128","$11,272","$5,263","$26,221","$47,991","$13,676","$4,115",$993,"$14,734","$28,408",$289,"$1,935",$0,"$18,365","$19,583","$47,991","$6,464","$3,896","$2,568","$1,424","$1,011",$-403.13,"$2,838",$-270.32,$-72.87,$-343.19,$-119.88,$-223.31,$0,$-223.31,$10.58,$-215.08,$705,$-270.32,$-0.04,$-0.04,6.15,0.18
31-12-2017,"$9,700","$7,776","$2,991","$1,423",$562,"$22,452","$2,094","$1,067","$10,420","$5,156","$23,917","$46,369","$14,405","$3,907",$866,"$13,634","$28,038",$278,"$1,296",$0,"$17,834","$18,331","$46,369","$7,786","$4,749","$3,036","$1,448","$1,099",$-14.24,"$2,562",$474,$-119.94,$354,$814,$-459.90,$0,$-460.97,$-2.93,$-472.74,$849,$474,$-0.07,$-0.07,5.59,0.18
31-03-2018,"$9,988","$5,541","$3,413","$1,344","$2,329","$22,617","$2,199",$562,"$10,960","$6,198","$25,644","$48,261","$14,612","$3,899","$2,423","$14,138","$28,749",$302,$188,$0,"$18,952","$19,512","$48,261","$6,053","$3,834","$2,219","$1,434","$1,041",$-156.11,"$2,632",$-413.01,$-137.67,$-550.68,$-115.54,$-435.14,$0,$-435.14,$200,$-231.09,$44.25,$-413.01,$-0.04,$-0.04,4.95,0.18
